Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
65d8456d00000000070060f7,NYU DABC👉数据分析商业计算,易为美国硕博留学,2,1660,1242,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
65532124000000000f02642a,纽约大学数据分析与商业计算硕士项目解析,明德立人研究生留学,2,1660,1242,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
623af87c000000002103e0a0,上海纽约大学项目解析：DABC,美研老阿姨Eva讲申请,7,1439,1080,normal
671289dc000000001b0137ae,🎉NYU HEYTEA喜茶🧋今天开业！,vks1120,18,2560,1920,normal
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,6,1440,1080,normal
670e54d1000000001600fb83,扒到NYU Stern内部绝密投行指南（不定时删,Tsuki备忘录,18,1660,1242,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,742,2560,1920,normal
6710e816000000001b02ca41,纽约大学到底谁才能被录取🤫🤫,积极永不颓废,20,1920,1440,normal
2a9d0850-1511-423e-b6f9-d50d6e16cb96#1729472361648,,,0,0,0,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
65be0c67000000002c03755f,NYU Stern MSBA 面经,小红薯5D437A23,12,853,1280,normal
660d9323000000001b012610,NYU选课避雷！,Steinhardt小书包,100,1625,1631,normal
666833a7000000001c02304d,吐血整理‼️8大投行目标校list，我汇总了,是今今学姐呀,65,1660,1242,normal
670cfdb80000000021002484,NYU Stern内部绝密投行指南，不定时删,吉米呀Jimmy,66,1660,1245,normal
671067000000000016021406,求nyu ed1 下车bg😍😍,甜辣酸奶油味薯片不好吃,46,1600,1200,normal
660b3a5b000000001a010f17,NYU stern选课,wendy,33,352,2154,normal
66596527000000001401a3f5,纽约大学nyu的past exam题库软件yyds！,新意_28928,191,1440,1080,normal
65d8456d00000000070060f7,NYU DABC👉数据分析商业计算,易为美国硕博留学,2,1660,1242,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
65532124000000000f02642a,纽约大学数据分析与商业计算硕士项目解析,明德立人研究生留学,2,1660,1242,normal
623af87c000000002103e0a0,上海纽约大学项目解析：DABC,美研老阿姨Eva讲申请,7,1439,1080,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
671289dc000000001b0137ae,🎉NYU HEYTEA喜茶🧋今天开业！,vks1120,18,2560,1920,normal
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,6,1440,1080,normal
670e54d1000000001600fb83,扒到NYU Stern内部绝密投行指南（不定时删,Tsuki备忘录,18,1660,1242,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,742,2560,1920,normal
7485d77a-237f-41a0-8f75-171b46985718#1729472366433,,,0,0,0,normal
6710e816000000001b02ca41,纽约大学到底谁才能被录取🤫🤫,积极永不颓废,20,1920,1440,normal
66596527000000001401a3f5,纽约大学nyu的past exam题库软件yyds！,新意_28928,191,1440,1080,normal
670cfdb80000000021002484,NYU Stern内部绝密投行指南，不定时删,吉米呀Jimmy,66,1660,1245,normal
65be0c67000000002c03755f,NYU Stern MSBA 面经,小红薯5D437A23,12,853,1280,normal
671067000000000016021406,求nyu ed1 下车bg😍😍,甜辣酸奶油味薯片不好吃,46,1600,1200,normal
666833a7000000001c02304d,吐血整理‼️8大投行目标校list，我汇总了,是今今学姐呀,65,1660,1242,normal
666ef6dc000000001d019cfc,🇺🇸美硕CS申请三大梯度大盘点！,Rene学长,28,1660,1242,normal
66e3e50100000000120100fe,盘点纽约大学那些知名校友👉,成本JIA留学,9,1660,1245,normal
65d8456d00000000070060f7,NYU DABC👉数据分析商业计算,易为美国硕博留学,2,1660,1242,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
65532124000000000f02642a,纽约大学数据分析与商业计算硕士项目解析,明德立人研究生留学,2,1660,1242,normal
623af87c000000002103e0a0,上海纽约大学项目解析：DABC,美研老阿姨Eva讲申请,7,1439,1080,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
671289dc000000001b0137ae,🎉NYU HEYTEA喜茶🧋今天开业！,vks1120,18,2560,1920,normal
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,6,1440,1080,normal
