Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
65bca20e0000000008020797,申请季的第一封offer💜免面试NYU MsOMS,罐装Rhein,32,1363,1290,normal
62272e89000000002103ce15,上海纽约大学项目解析:营销与零售科学MMRS,美研老阿姨Eva讲申请,65,1464,1100,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
646eb8de0000000007039dfd,全美最难进的本科商学院㊙️NYU Stern录取,海淀妈妈聊美本留学,95,1706,1280,normal
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,6,1440,1080,normal
647f36470000000011013994,我被纽约大学Stern商学院录取的文书分享,omaaa,253,1653,1280,normal
6710e816000000001b02ca41,纽约大学到底谁才能被录取🤫🤫,积极永不颓废,20,1920,1440,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,742,2560,1920,normal
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
670e54d1000000001600fb83,扒到NYU Stern内部绝密投行指南（不定时删,Tsuki备忘录,18,1660,1242,normal
63ba8c86000000001f00edb2,美本TOP5 Stern商学院分享｜标化篇（上）,Allison不是矮丽森,544,717,956,video
d55cc851-cabe-41e7-b7d6-03df2f9a2322#1729472332843,,,0,0,0,normal
639be772000000001f00b39e,diy进nyu stern的bg🦌🗽,kristen,579,1920,1440,normal
6554a2ad000000003300772c,一篇解析Stern | 不敢想拿到offer🈶多快乐,乔乔乔安（双非逆袭版）,98,1919,1357,normal
6458b945000000000800c1a2,纽约大学斯特恩商学院就业情况怎么样？,Emma学姐,17,2560,1920,normal
65cef267000000000b00de3e,nyu大一 Stern 接到Offer了！！,小屁孩,179,1913,1284,normal
64e62a520000000012018c43,NYU内部转Stern案例分享❗️难度很高提前准备,拒绝喝奶茶🥤,162,1707,1280,normal
64e804620000000003020e70,作为NYU Stern招生官大使中唯一的中国人…,猪力力,594,1920,1440,normal
671067000000000016021406,求nyu ed1 下车bg😍😍,甜辣酸奶油味薯片不好吃,46,1600,1200,normal
66c860c6000000001d03920d,ED强势上车纽约大学Stern商学院，bg参考,棕榈大道本科申请,24,1706,1280,normal
65bca20e0000000008020797,申请季的第一封offer💜免面试NYU MsOMS,罐装Rhein,32,1363,1290,normal
62272e89000000002103ce15,上海纽约大学项目解析:营销与零售科学MMRS,美研老阿姨Eva讲申请,65,1464,1100,normal
647f36470000000011013994,我被纽约大学Stern商学院录取的文书分享,omaaa,253,1653,1280,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,108,1440,1080,normal
671306f3000000001402e393,普高到NYU Stern，我会在华尔街打破女性困境,One Strategy Group,7,1366,1024,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,742,2560,1920,normal
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,6,1440,1080,normal
6700c5ce000000002a0353e9,纽大stern商学院｜我希望提前知道的5个真相,Allison不是矮丽森,177,4032,3024,normal
6710e816000000001b02ca41,纽约大学到底谁才能被录取🤫🤫,积极永不颓废,20,1920,1440,normal
63ba8c86000000001f00edb2,美本TOP5 Stern商学院分享｜标化篇（上）,Allison不是矮丽森,544,717,956,video
670e54d1000000001600fb83,扒到NYU Stern内部绝密投行指南（不定时删,Tsuki备忘录,18,1660,1242,normal
646eb8de0000000007039dfd,全美最难进的本科商学院㊙️NYU Stern录取,海淀妈妈聊美本留学,95,1706,1280,normal
0d030026-1993-45b0-a60b-386de8a3da74#1729472337582,,,0,0,0,normal
6554a2ad000000003300772c,一篇解析Stern | 不敢想拿到offer🈶多快乐,乔乔乔安（双非逆袭版）,98,1919,1357,normal
65cef267000000000b00de3e,nyu大一 Stern 接到Offer了！！,小屁孩,179,1913,1284,normal
64e62a520000000012018c43,NYU内部转Stern案例分享❗️难度很高提前准备,拒绝喝奶茶🥤,162,1707,1280,normal
64e804620000000003020e70,作为NYU Stern招生官大使中唯一的中国人…,猪力力,594,1920,1440,normal
66c860c6000000001d03920d,ED强势上车纽约大学Stern商学院，bg参考,棕榈大道本科申请,24,1706,1280,normal
