Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
65f3e1db000000000d00d02c,NYU MsOMS 哥大ERM二选一,尖沙咀麦当劳化骨龙,8,600,1459,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,111,1440,1080,normal
647f36470000000011013994,我被纽约大学Stern商学院录取的文书分享,omaaa,253,1653,1280,normal
64024c79000000001300a081,NYU stern MSA offer,Hiukwan五条棍,32,1343,1920,normal
64f36f01000000001f0367d5,全英｜招生大使揭秘！NYU喜欢录取哪3种人？,猪力力,945,1920,1440,video
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,7,1440,1080,normal
646eb8de0000000007039dfd,全美最难进的本科商学院㊙️NYU Stern录取,海淀妈妈聊美本留学,96,1706,1280,normal
6439ea4b0000000027029747,Stern Internal Transfer🛫,gospel💜,206,1080,1204,normal
67215f98000000001d03908b,10🈷️食记之我在纽约吃什么（店名不全,Aurora苏舒（被🔪版,0,4284,4284,normal
671f2b25000000001600d283,🇺🇸25fall ed NYU,xi.,42,2385,1290,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,751,2560,1920,normal
643ae55d00000000270131c9,Stern Internal Transfer Q&A 第二弹,gospel💜,218,1094,820,normal
79396bc7-dbdf-454c-b6df-5c1dad5993a5#1730246459651,,,0,0,0,normal
67204880000000003c01b99d,热度🔝 Stern MBA录取越来越挑剔了,Claireee🎋,4,1572,1179,normal
64e62a520000000012018c43,NYU内部转Stern案例分享❗️难度很高提前准备,拒绝喝奶茶🥤,164,1707,1280,normal
66ceca3b000000001f039e56,纽约大学CS就读体验+选课,TerraByte留学小助手,26,1502,1008,normal
65be0c67000000002c03755f,NYU Stern MSBA 面经,小红薯5D437A23,12,853,1280,normal
65db5f4c000000000b021206,越来越不想干金融了,埋头苦学嘎,87,1920,2560,normal
639be772000000001f00b39e,diy进nyu stern的bg🦌🗽,kristen,584,1920,1440,normal
667ab871000000001f00693b,被气笑了😂竟然收到纽约大学offer，巨简单的,Jane名校直禄,52,1920,1440,normal
66ea92af000000000c01b220,谁能想到……他们竟然是校友！,咖啡狂魔（留子版）,87,1706,1280,normal
66ea92af000000000c01b220,谁能想到……他们竟然是校友！,咖啡狂魔（留子版）,87,1706,1280,normal
66a682e5000000000600e493,,飞扬跋扈NYU,143,1920,1080,normal
dae5b197-c94d-4d24-9523-f47c7f39e501#1730246464970,,,0,0,0,normal
6245204c0000000001026236,RD等到了Stern💜💜💜,ViVi🦊,250,557,600,normal
63ba8c86000000001f00edb2,美本TOP5 Stern商学院分享｜标化篇（上）,Allison不是矮丽森,548,717,956,video
6651248a00000000140196b9,Stern的俩名人,云卷云舒,218,600,801,normal
671c7393000000001b010b52,预测一下，巴伦8⃣️阿哥大概率会在大三转学,李老师topo鼎一国际教育,319,1024,634,normal
671fbe29000000002100200c,法国第一商学院 HEC 带奖录取案例复盘（上）,牛津万万学姐,10,1849,1387,normal
6458b945000000000800c1a2,纽约大学斯特恩商学院就业情况怎么样？,Emma学姐,17,2560,1920,normal
664d580e000000001401aaeb,爽文之文科女爆改华尔街｜Stern申请,曼荻Mandy,93,2560,1706,normal
65cef267000000000b00de3e,nyu大一 Stern 接到Offer了！！,小屁孩,181,1913,1284,normal
65379013000000001f03c0c1,原来投行目标校之间的差别也有这么大...,Jasmine Goes Wall St.,104,1417,1077,normal
dae5b197-c94d-4d24-9523-f47c7f39e501#1730246464970,,,0,0,0,normal
66d5c493000000001f01f61b,果然 stern is stern,片儿川,47,433,1237,normal
671bda3e000000001b0105fa,NYU内部转Stern 好转吗,困困困.,51,1600,1200,normal
66f22cec000000002a0320de,他爹的 我不仅是女生 还是top2商学院本科生,Allison不是矮丽森,1081,2560,1920,normal
66f121ee000000001a022f25,"NYU到底有谁在啊!""",七七学姐说留学,29,1706,1280,normal
653a819e000000002202e071,NYU Stern MSA毕业心得&big4实习经验,omaaa,32,1920,1440,normal
639b932b000000001b02799b,啊啊啊啊nyu stern 2027,收回晚安,175,1707,1280,normal
65adbc7200000000110053d8,Stern到底值不值得去？| NYU学长分享,Mike纽约生活,76,1707,1280,normal
62ec94db00000000160300e6,伦敦政经LSE和纽约大学本科哪个更好？,刮目相看GMXK,171,1024,768,normal
6466f00e000000001402655e,Econometrics midterm笔记总结第二弹,哆啦Q梦,264,1920,1440,normal
66e33d24000000000c018f65,全美唯二的Man in Finance又多了一位😂,宾大学姐羊,2856,1253,1179,normal
653c35f30000000025017b13,NYU Stern💜上岸成功🎉,🔥,142,1675,1200,normal
27fb401c-2f49-47f4-a5fd-569a07bd7dc4#1730246470355,,,0,0,0,normal
66d9c62a0000000012011d8e,Stern｜开学第一天🫡,Sakuraaa,44,2096,1179,normal
66f52b2e000000001902c611,没人发现今年华尔街的目标校名单很癫吗...,Jasmine Goes Wall St.,50,1000,750,normal
