Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
622048c0000000000102d279,NYU Stern MsQF 免面+奖 (分享篇),腊八蒜,43,341,341,normal
668cbf1a00000000250045ab,破除留学信息差 - 美研自救之纽大MSQF,竹竹公主,5,908,1920,normal
64103130000000000703ab69,nyu msqf offer 儿童节开学,叽里呱啦噜,19,1920,1440,normal
6400e6880000000013013282,NYU Stern MSQF or UIUC MSF,-yy,13,1199,1159,normal
641e7c580000000013016ec4,请小红书的大家帮忙选一下offer😊,小红薯6357CBB5,5,1920,1440,normal
66c32d98000000001f03eeac,NYU学弟学妹：想申研，慎重考虑转Stern,Smart学长聊留学,111,1440,1080,normal
65be0c67000000002c03755f,NYU Stern MSBA 面经,小红薯5D437A23,12,853,1280,normal
65cef267000000000b00de3e,nyu大一 Stern 接到Offer了！！,小屁孩,181,1913,1284,normal
663b9270000000001e037f06,毕业6年回顾｜NYU Stern性价比如何,江江江小梨,751,2560,1920,normal
65c53921000000001100d6f4,23fall无保底申研复盘（上）,爆小宝,86,1920,1150,normal
66d5c493000000001f01f61b,果然 stern is stern,片儿川,47,433,1237,normal
66388804000000001e033eec,APEA人物专访｜于家翊：全面发展理念（上）,APEA亚太青年企业家理事会,7,1440,1080,normal
1c815bf6-c654-4015-9dd4-ae321baa5801#1730246334966,,,0,0,0,normal
67190d1d000000001b010fd9,NYU ED1 cas stern有戏吗？,justin yang,28,1059,1076,normal
6630efdf000000001e02d85f,大一刚开学，就被社团面试杀了个措手不及,华尔街胖虎,404,1920,1920,normal
665e75250000000006007170,NYU内部转Stern案例分享❗难度很高提前准备,Alyssa本科转学深度研究,17,1440,1080,normal
6603144f000000000d00cd4c,NYU Stern 拒信,纽约学长,37,712,960,normal
6628695d0000000001007ee6,MBA申请季 无GMAT拿Top 15 半/全奖 Offers,iIvy💋,273,1347,1080,normal
66ceca3b000000001f039e56,纽约大学CS就读体验+选课,TerraByte留学小助手,26,1502,1008,normal
65ebf56a0000000004001fe7,NYU Stern ED2 拒信,卡皮巴拉,2,1280,1280,normal
6651248a00000000140196b9,Stern的俩名人,云卷云舒,218,600,801,normal
64024c79000000001300a081,NYU stern MSA offer,Hiukwan五条棍,32,1343,1920,normal
653c35f30000000025017b13,NYU Stern💜上岸成功🎉,🔥,142,1675,1200,normal
2f01548b-7d48-4560-b1cb-54180378a9b3#1730246340253,,,0,0,0,normal
647f36470000000011013994,我被纽约大学Stern商学院录取的文书分享,omaaa,253,1653,1280,normal
6439ea4b0000000027029747,Stern Internal Transfer🛫,gospel💜,206,1080,1204,normal
6245204c0000000001026236,RD等到了Stern💜💜💜,ViVi🦊,250,557,600,normal
6611b80b000000001a016e2c,我是怎么转进NYU Stern商学院的,XiL,233,657,876,video
643ae55d00000000270131c9,Stern Internal Transfer Q&A 第二弹,gospel💜,218,1094,820,normal
64e62a520000000012018c43,NYU内部转Stern案例分享❗️难度很高提前准备,拒绝喝奶茶🥤,164,1707,1280,normal
6628695d0000000001007ee6,MBA申请季 无GMAT拿Top 15 半/全奖 Offers,iIvy💋,273,1347,1080,normal
650856cb000000001e021d7b,全英｜NYU Stern录取偏好？招生大使揭秘！,猪力力,186,1920,1440,video
6651248a00000000140196b9,Stern的俩名人,云卷云舒,218,600,801,normal
2f01548b-7d48-4560-b1cb-54180378a9b3#1730246340253,,,0,0,0,normal
6466f00e000000001402655e,Econometrics midterm笔记总结第二弹,哆啦Q梦,264,1920,1440,normal
639be772000000001f00b39e,diy进nyu stern的bg🦌🗽,kristen,584,1920,1440,normal
65f3e1db000000000d00d02c,NYU MsOMS 哥大ERM二选一,尖沙咀麦当劳化骨龙,8,600,1459,normal
65ab9bd3000000000c006bff,24Fall｜Offer帮选求科普👂🏻,黑不溜邱,13,2006,2560,normal
6693e488000000000a02692d,美国金工金数专业申请梯度一览⬆️快来码住！,商科留子的懂王,25,1660,1242,normal
668e504f0000000025007e37,宾大领跑，纽大赶超MIT❗2024金融本科排名,今学姐说英美留学,24,1660,1242,normal
65379013000000001f03c0c1,原来投行目标校之间的差别也有这么大...,Jasmine Goes Wall St.,104,1417,1077,normal
6603494100000000130278e8,给NYU stern磕一个😇,Wangqy,65,1530,2036,normal
646b7d210000000014026a70,续上篇 聊聊毕业感想,邱小喵,220,1920,1440,normal
606de71d000000002103eabd,NYU Stern 2025,JRY,149,1237,1706,normal
