Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
65eb070b0000000004001927,菜狗24fall大家来选选Fuqua vs NYUSH-stern,醒醒,5,1431,1405,normal
654d9bef000000003202cf77,NYUSH-Stern｜商科硕士的早C晚A😎,NYUSH-NYUStern商科硕士,36,1707,1280,normal
6468159200000000130056bf,以全校第一的成绩从Stern毕业啦😈,邱小喵,5803,1920,1440,normal
65ab9bd3000000000c006bff,24Fall｜Offer帮选求科普👂🏻,黑不溜邱,13,2006,2560,normal
6572824e0000000009020ed4,NYUSH-Stern｜Final Week 食饮记,NYUSH-NYUStern商科硕士,23,1280,1280,normal
66623814000000000d00fb9b,NYU Stern开学第一周Plog来咯💜,罐装Rhein,138,1920,1440,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
657baaab0000000007039daa,jhu carey 还是 上纽,饭吃饱饱啦,29,1410,2306,normal
66a30c7d000000000a007861,NYU Dormitory | 纽约大学宿舍巡礼🏡,NYUSH-NYUStern商科硕士,172,1181,886,video
65bca20e0000000008020797,申请季的第一封offer💜免面试NYU MsOMS,罐装Rhein,32,1363,1290,normal
665e75250000000006007170,NYU内部转Stern案例分享❗难度很高提前准备,Alyssa本科转学深度研究,16,1440,1080,normal
6690c27a000000000a0248c0,商科日常｜🥳纽约夏季生活大起底🍎,NYUSH-NYUStern商科硕士,32,2560,1920,normal
929aba48-9d7d-4dc7-94be-74ed956a391b#1729472303864,,,0,0,0,normal
654fcd97000000001701ee02,Transfer to Stern,纽约学长,16,1920,2560,normal
66023e45000000001203d7c9,纽约大学内部转入stern商学院攻略,NYU Tiffany学姐,19,1706,1280,normal
635b949a000000001402a17f,NYUSH-NYU Stern商科硕士项目入驻小红书啦！,NYUSH-NYUStern商科硕士,161,1657,1242,video
658e7496000000000f03297e,NYU SH-Stern｜我的2023事件簿✨,NYUSH-NYUStern商科硕士,16,2560,1920,normal
65b1144d000000002c010b0f,我爱NYU Stern!,纽约学长,2,2560,1920,normal
667c231b000000001f004f11,爸，妈，我到底该不该去NYUsh啊,Aiden,80,1920,2560,normal
6598d8e9000000001e00640c,第一个心动的offer!,醒醒,5,1728,2560,normal
64facc43000000001303d561,24届商科硕士项目秋季学期开始啦🥳,NYUSH-NYUStern商科硕士,26,1830,2560,normal
6468159200000000130056bf,以全校第一的成绩从Stern毕业啦😈,邱小喵,5803,1920,1440,normal
66623814000000000d00fb9b,NYU Stern开学第一周Plog来咯💜,罐装Rhein,138,1920,1440,normal
65eb070b0000000004001927,菜狗24fall大家来选选Fuqua vs NYUSH-stern,醒醒,5,1431,1405,normal
654d9bef000000003202cf77,NYUSH-Stern｜商科硕士的早C晚A😎,NYUSH-NYUStern商科硕士,36,1707,1280,normal
62b18f92000000000b007bae,NYU Stern：谢谢你，我很容易转进的,涂涂学长留学,237,1712,1284,normal
6572824e0000000009020ed4,NYUSH-Stern｜Final Week 食饮记,NYUSH-NYUStern商科硕士,23,1280,1280,normal
657baaab0000000007039daa,jhu carey 还是 上纽,饭吃饱饱啦,29,1410,2306,normal
65ab9bd3000000000c006bff,24Fall｜Offer帮选求科普👂🏻,黑不溜邱,13,2006,2560,normal
66a30c7d000000000a007861,NYU Dormitory | 纽约大学宿舍巡礼🏡,NYUSH-NYUStern商科硕士,172,1181,886,video
66023e45000000001203d7c9,纽约大学内部转入stern商学院攻略,NYU Tiffany学姐,19,1706,1280,normal
6690c27a000000000a0248c0,商科日常｜🥳纽约夏季生活大起底🍎,NYUSH-NYUStern商科硕士,32,2560,1920,normal
665e75250000000006007170,NYU内部转Stern案例分享❗难度很高提前准备,Alyssa本科转学深度研究,16,1440,1080,normal
29b66003-3cbd-45ae-bc11-614f40a016c6#1729472308513,,,0,0,0,normal
66727999000000000e033a9f,应该算NYU Shanghai的项目,壹零肆叁EDU留学,7,1706,1280,normal
65b1144d000000002c010b0f,我爱NYU Stern!,纽约学长,2,2560,1920,normal
65bca20e0000000008020797,申请季的第一封offer💜免面试NYU MsOMS,罐装Rhein,32,1363,1290,normal
6667c572000000000d00edb7,上海纽约大学专业介绍来啦！,鱼鱼在努力🐟,54,1440,1080,normal
654fcd97000000001701ee02,Transfer to Stern,纽约学长,16,1920,2560,normal
66d950720000000027003a24,日常Plog｜纽约夏季元气满满的一天🥣📚👟,NYUSH-NYUStern商科硕士,25,2560,1920,normal
660582d100000000120212b8,NYU-Stern School of Business,Chel🦋,42,1080,1920,video
64e62a520000000012018c43,NYU内部转Stern案例分享❗️难度很高提前准备,拒绝喝奶茶🥤,162,1707,1280,normal
6468159200000000130056bf,以全校第一的成绩从Stern毕业啦😈,邱小喵,5803,1920,1440,normal
66623814000000000d00fb9b,NYU Stern开学第一周Plog来咯💜,罐装Rhein,138,1920,1440,normal
65eb070b0000000004001927,菜狗24fall大家来选选Fuqua vs NYUSH-stern,醒醒,5,1431,1405,normal
654d9bef000000003202cf77,NYUSH-Stern｜商科硕士的早C晚A😎,NYUSH-NYUStern商科硕士,36,1707,1280,normal
62b18f92000000000b007bae,NYU Stern：谢谢你，我很容易转进的,涂涂学长留学,237,1712,1284,normal
657baaab0000000007039daa,jhu carey 还是 上纽,饭吃饱饱啦,29,1410,2306,normal
6572824e0000000009020ed4,NYUSH-Stern｜Final Week 食饮记,NYUSH-NYUStern商科硕士,23,1280,1280,normal
65ab9bd3000000000c006bff,24Fall｜Offer帮选求科普👂🏻,黑不溜邱,13,2006,2560,normal
