Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
66a37b0d000000002701f7df,NYUSH Welcome Package Unbox💜,Maureeeeen Li,237,1189,891,video
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
665eb0da000000000e031d60,NYUSH大二｜在VCA实习结束啦🎉,安揪是小郭,511,1920,1440,normal
6620e65000000000010046ca,NYU Shanghai 上学日记☀️,哆啦Q梦,2545,2560,1940,normal
66f54c31000000001b02249c,NYUSH大一 | 大学是一场破碎与自我重组,PurpleParis,74,1920,1440,normal
664ebca600000000050078a5,2024上纽大毕业💜从NYU捡到了一个男朋友🙄,安吉拉棒棒（站柜中,169,1920,1440,normal
671fb1e7000000002100801c,Maureen’s plog | 随机掉落的日常碎片🧩,Maureeeeen Li,18,1057,851,normal
653a1e0c000000002202f815,官宣💜上海纽约大学来小红书啦！,上海纽约大学NYUShanghai,580,1200,900,normal
6694257d00000000250040fb,从NYUSH到清华～记录一下上周的苏世民面试✨,Cecilia,73,2560,1962,normal
63b06098000000002203a4c7,NYUSH大一｜22Fall GPA：3.83/4📚,哈喽蛋妮,82,640,1280,normal
66d1e658000000001d016340,回到我的大学😃,Grin Larin,389,1920,1440,video
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,166,1920,2560,normal
6600d985000000001203c2a3,纽约街采｜上海纽约大学 vs 纽约大学,小小苏在纽约,962,1605,1204,video
667c205c000000001d0172e4,NYUSH择校,AI学习与前沿,38,1600,1200,normal
6666babc00000000150115b1,在NYU上海的半个月,廖露西娅,148,2560,1920,normal
67123079000000001b02fde1,当上纽人在世界各地当留子🌍,上海纽约大学NYUShanghai,18,2560,1919,normal
6585790e000000003802315d,NYUSH大二｜努力变成优秀漂亮大女主的一年,安揪是小郭,125,1560,1170,video
654bad89000000000f02b22d,NYUSH｜明年还来🎃,wann.,42,1920,1440,normal
66165ebf000000001a016e77,华裔ABC：我的第一篇小红书,Justin,36,1000,750,video
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
6544f0ba000000002500b8c7,来上纽大过万圣吧！🎃,Catri,118,1920,1440,normal
63721854000000001f026a1b,英文Vlog｜在国内大学过美剧里的宿舍生活,Travyy,347,1920,1080,video
64e588d30000000017019f29,全国最豪华大学寝室之一｜NYUSH版,延延不想再拖延,436,1440,1920,normal
63b06098000000002203a4c7,NYUSH大一｜22Fall GPA：3.83/4📚,哈喽蛋妮,82,640,1280,normal
641c17ee000000001303ee52,NYUSH一般不这样,nigeldaiii,85,1920,1920,normal
635d0d1a000000001400db2e,上海纽约大学|Halloween🎃,PigRRuiui,223,1920,1440,normal
61ffcac0000000000102d6c9,民办三本野鸡？上海纽约大学到底啥水平,国乎乎,1523,1705,1280,normal
64eb30ad000000001201e5ad,NYUSH｜在上纽做OA迎新大使是什么体验？,哈喽蛋妮,139,2035,1179,normal
63c7b91e000000001f0260d5,03年女孩上学轨迹🎒｜执信➡️NYUSH,安揪是小郭,531,1920,1440,normal
66a28d42000000000600eb97,NYUSH大四招办学姐Q&A🎾,Cecilia,47,4250,5667,normal
66d3af45000000001f017861,✨NYU Shanghai’s Got Talent Show✨,Elvira Fan,22,1920,1080,video
64009af7000000001300d26e,我的大学三年半 💜,Harry Lee,406,1706,1280,normal
66325e36000000001e0306b4,NYUSH大四｜谁家大学只有一天五一假期😌,哆啦Q梦,101,2560,1690,normal
67129f2e000000002603449d,,Zozo,5,1600,1200,normal
66ab454100000000270122dc,规划求助｜utsc还是nyush？,Safari世界大学对比,26,3000,2000,normal
