Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
66f54cc8000000002a036820,一张图全面对比上纽&昆杜，2025申请季经验分,升小派教育,4,2712,2030,normal
6702ec4f000000001902c79c,上纽本科申请文书bridge builders 要写什么,邵主任讲升学,64,2560,2039,normal
6602a87f000000001203d348,在上海｜上海纽约大学,sunset,1211,2560,1920,normal
6714fe19000000001600ee7b,上纽大二🎨在上海国际艺术节当志愿者的三天,Liberté✨,16,2560,1900,normal
4c2106d8-d231-4374-a8a8-f3479abe3381#1729472375966,,,0,0,0,normal
670df63d000000001b0132cb,上纽➕昆杜校园日对比，看这张表就够啦🔥,罗博士聊港澳留学,22,2712,2030,normal
670fa489000000002401a2da,终于又更了一条上纽日常视频,花语清扬,15,1440,1080,video
66a0877c000000000a0040a6,从学生会主席到上纽中外合办｜干货分享,Iris,297,2560,1919,normal
661a525d000000001b00f74b,Vlog｜上纽大二  不上课的一天做什么,Wennn,324,1440,1080,video
65f2c6ae000000001203f93d,能劝一个是一个，真的不要随便上纽大,卡姐说美本留学,183,1660,1242,normal
653a1e0c000000002202f815,官宣💜上海纽约大学来小红书啦！,上海纽约大学NYUShanghai,575,1200,900,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,196,2138,1604,normal
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
66d7008f000000001f01a232,上纽大的学长们进来聊,11111e,286,1600,1200,normal
4c2106d8-d231-4374-a8a8-f3479abe3381#1729472375966,,,0,0,0,normal
664ebca600000000050078a5,2024上纽大毕业💜从NYU捡到了一个男朋友🙄,安吉拉棒棒（站柜中,169,1920,1440,normal
65c45097000000000c005724,花一百万读上海纽约大学，我后悔了吗,橘宝在路上🍊,350,2560,2560,normal
66a37b0d000000002701f7df,NYUSH Welcome Package Unbox💜,Maureeeeen Li,236,1189,891,video
64d9778d000000001701ad34,高考699放弃清北去上纽？,七斤芝士,1507,842,1080,normal
66cea12f000000001d01a3b6,上海4700美金一学期的宿舍什么样,Napple,47,1440,1080,video
6708c1ee000000001b022879,上纽文书解析-如何成为Bridge💪,新航道前程留学美本,46,1660,1242,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
6702ec4f000000001902c79c,上纽本科申请文书bridge builders 要写什么,邵主任讲升学,64,2560,2039,normal
66f54cc8000000002a036820,一张图全面对比上纽&昆杜，2025申请季经验分,升小派教育,4,2712,2030,normal
653a1e0c000000002202f815,官宣💜上海纽约大学来小红书啦！,上海纽约大学NYUShanghai,575,1200,900,normal
6714fe19000000001600ee7b,上纽大二🎨在上海国际艺术节当志愿者的三天,Liberté✨,16,2560,1900,normal
321b4002-2563-49bb-a96b-2ac42a87c527#1729472381605,,,0,0,0,normal
670df63d000000001b0132cb,上纽➕昆杜校园日对比，看这张表就够啦🔥,罗博士聊港澳留学,22,2712,2030,normal
670fa489000000002401a2da,终于又更了一条上纽日常视频,花语清扬,15,1440,1080,video
66a0877c000000000a0040a6,从学生会主席到上纽中外合办｜干货分享,Iris,297,2560,1919,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,196,2138,1604,normal
661a525d000000001b00f74b,Vlog｜上纽大二  不上课的一天做什么,Wennn,324,1440,1080,video
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
664ebca600000000050078a5,2024上纽大毕业💜从NYU捡到了一个男朋友🙄,安吉拉棒棒（站柜中,169,1920,1440,normal
66a37b0d000000002701f7df,NYUSH Welcome Package Unbox💜,Maureeeeen Li,236,1189,891,video
6708c1ee000000001b022879,上纽文书解析-如何成为Bridge💪,新航道前程留学美本,46,1660,1242,normal
321b4002-2563-49bb-a96b-2ac42a87c527#1729472381605,,,0,0,0,normal
65c45097000000000c005724,花一百万读上海纽约大学，我后悔了吗,橘宝在路上🍊,350,2560,2560,normal
66d7008f000000001f01a232,上纽大的学长们进来聊,11111e,286,1600,1200,normal
64d9778d000000001701ad34,高考699放弃清北去上纽？,七斤芝士,1507,842,1080,normal
66cea12f000000001d01a3b6,上海4700美金一学期的宿舍什么样,Napple,47,1440,1080,video
61ffcac0000000000102d6c9,民办三本野鸡？上海纽约大学到底啥水平,国乎乎,1520,1705,1280,normal
66f4ca24000000002c02fac6,上海纽约大学2025本科招生简章（综招招生）,颜溪妈妈的陪读生活,38,1600,1200,normal
6702ec4f000000001902c79c,上纽本科申请文书bridge builders 要写什么,邵主任讲升学,64,2560,2039,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
66f54cc8000000002a036820,一张图全面对比上纽&昆杜，2025申请季经验分,升小派教育,4,2712,2030,normal
6714fe19000000001600ee7b,上纽大二🎨在上海国际艺术节当志愿者的三天,Liberté✨,16,2560,1900,normal
653a1e0c000000002202f815,官宣💜上海纽约大学来小红书啦！,上海纽约大学NYUShanghai,575,1200,900,normal
9b72a46f-5579-4e0a-9460-796e044a2d6f#1729472386869,,,0,0,0,normal
