Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
623af87c000000002103e0a0,上海纽约大学项目解析：DABC,美研老阿姨Eva讲申请,7,1439,1080,normal
63897b56000000002202bac5,毕业快乐🎓｜2022届DABC&QF的紫色欢乐海洋🥳,NYUSH-NYUStern商科硕士,26,1280,1920,normal
65fe40f9000000001203d84c,一枚珍贵的纽约大学上海数据分析DABC录取,Carrie （搞事业版）,1,1286,1170,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
65d8456d00000000070060f7,NYU DABC👉数据分析商业计算,易为美国硕博留学,2,1660,1242,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
623429dc000000000102b79d,上海纽约大学 stern数据分析和商业计算,梦校紫罗兰,16,1036,1036,normal
670e20d3000000001600ef91,今天，我们相聚在这里，是为了…,上海纽约大学NYUShanghai,68,2048,1536,normal
662252d1000000001c007f70,上海纽约大学同学的嘴巴是真严，实名羡慕！,momo-男,512,1920,2560,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
66276a95000000001c007fd9,💥昆杜🆚上纽大？谁是申美研王者中的王者？,美研momo酱聊留学,277,2560,1920,normal
66a37b0d000000002701f7df,NYUSH Welcome Package Unbox💜,Maureeeeen Li,236,1189,891,video
5fea757d-9f0a-4151-87bf-49153c96c425#1729472506217,,,0,0,0,normal
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
66f3b155000000001a02015d,上纽、昆杜10月1日开放申请！,中教汇学,4,1656,1242,normal
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
66cea12f000000001d01a3b6,上海4700美金一学期的宿舍什么样,Napple,47,1440,1080,video
65c45097000000000c005724,花一百万读上海纽约大学，我后悔了吗,橘宝在路上🍊,350,2560,2560,normal
66b9c4700000000025032902,上纽大还挺不open的,黑白豆花儿,213,4032,3024,normal
644221740000000027013ff9,🤩我们的线下录取学生活动重启啦！！,NYUSH-NYUStern商科硕士,19,1920,1920,normal
63efca0000000000120325aa,NYU DABC AD✅,鹌鹑不会下蛋x,3,1024,859,normal
623af87c000000002103e0a0,上海纽约大学项目解析：DABC,美研老阿姨Eva讲申请,7,1439,1080,normal
63897b56000000002202bac5,毕业快乐🎓｜2022届DABC&QF的紫色欢乐海洋🥳,NYUSH-NYUStern商科硕士,26,1280,1920,normal
65fe40f9000000001203d84c,一枚珍贵的纽约大学上海数据分析DABC录取,Carrie （搞事业版）,1,1286,1170,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
65d8456d00000000070060f7,NYU DABC👉数据分析商业计算,易为美国硕博留学,2,1660,1242,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
623429dc000000000102b79d,上海纽约大学 stern数据分析和商业计算,梦校紫罗兰,16,1036,1036,normal
670e20d3000000001600ef91,今天，我们相聚在这里，是为了…,上海纽约大学NYUShanghai,68,2048,1536,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
66a37b0d000000002701f7df,NYUSH Welcome Package Unbox💜,Maureeeeen Li,236,1189,891,video
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
65c45097000000000c005724,花一百万读上海纽约大学，我后悔了吗,橘宝在路上🍊,350,2560,2560,normal
44f04899-dd5b-49d3-914f-d91f9fee7469#1729472510857,,,0,0,0,normal
66cea12f000000001d01a3b6,上海4700美金一学期的宿舍什么样,Napple,47,1440,1080,video
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
66276a95000000001c007fd9,💥昆杜🆚上纽大？谁是申美研王者中的王者？,美研momo酱聊留学,277,2560,1920,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,196,2138,1604,normal
655740bb000000003202df42,择校指南｜上纽VS昆杜VS港中深VS985,斯黛啦学姐Stella,218,2560,1920,normal
63efca0000000000120325aa,NYU DABC AD✅,鹌鹑不会下蛋x,3,1024,859,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
64e6903e000000000800cdc4,上海纽约大学硕士和博士项目简介—应邀解答,叁讓學堂,20,720,1080,normal
623af87c000000002103e0a0,上海纽约大学项目解析：DABC,美研老阿姨Eva讲申请,7,1439,1080,normal
63897b56000000002202bac5,毕业快乐🎓｜2022届DABC&QF的紫色欢乐海洋🥳,NYUSH-NYUStern商科硕士,26,1280,1920,normal
65fe40f9000000001203d84c,一枚珍贵的纽约大学上海数据分析DABC录取,Carrie （搞事业版）,1,1286,1170,normal
63dde8e6000000001b005075,NYU DABC👉数据分析商业计算⬇️合办项目解析,商科留子的懂王,14,1920,1440,normal
65d8456d00000000070060f7,NYU DABC👉数据分析商业计算,易为美国硕博留学,2,1660,1242,normal
65f3e44c000000001203367b,NYU Stern Shanghai MS-DABC Offer（半奖）,爱弥洛尔教育,4,1124,962,normal
623429dc000000000102b79d,上海纽约大学 stern数据分析和商业计算,梦校紫罗兰,16,1036,1036,normal
670e20d3000000001600ef91,今天，我们相聚在这里，是为了…,上海纽约大学NYUShanghai,68,2048,1536,normal
