Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
671348520000000026035c9b,纽约大学钢琴社期待你的加入！,NYU钢琴社,15,1500,2000,normal
6713450a000000001b03c86f,Vlog | 期中考但十分劳逸结合๑˃̵ᴗ˂̵👍,燃儿然而,22,1440,1080,video
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
670d3015000000001b01278d,LLM Agent Hackathon Project 找队友,_PumpkinCookie,70,2126,1110,normal
67129db2000000001b02c18e,美本跳槽哈佛医学院搞科研💪💪,Delaney,124,2560,1920,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
6713611f000000001b03cee6,如何免费逛上海纽约大学？,Anna McQuillan,88,2560,1920,normal
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,196,2138,1604,normal
64009af7000000001300d26e,我的大学三年半 💜,Harry Lee,403,1706,1280,normal
66a0877c000000000a0040a6,从学生会主席到上纽中外合办｜干货分享,Iris,297,2560,1919,normal
671364a4000000001402f3e5,上纽大的F4嘉年华开始啦🎉🎉🎉,上纽花园,23,1920,2560,normal
656254f9000000003202911e,耶鲁M2M｜第一年🇭🇰HKUST正式毕业啦！🎓,redred🐨,180,1707,1280,normal
66cc1eaf000000001f01feb8,上纽报到，家长跟随的2小时,MARIA,55,2560,1920,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
6708a935000000001b0211fa,纽约大学｜NYU大一新生学生宿舍VLOG,马丁苏,1512,1821,1366,video
66a3abb8000000000d03331c,录取大礼包请查收！！💜💜NYUShanghai,Merida🌟,330,5712,4145,normal
670e20d3000000001600ef91,今天，我们相聚在这里，是为了…,上海纽约大学NYUShanghai,68,2048,1536,normal
656c7866000000000503aff1,帝国理工化学系｜Term 1 Lab,Alina,127,1920,1440,normal
671348520000000026035c9b,纽约大学钢琴社期待你的加入！,NYU钢琴社,15,1500,2000,normal
6713450a000000001b03c86f,Vlog | 期中考但十分劳逸结合๑˃̵ᴗ˂̵👍,燃儿然而,22,1440,1080,video
67129db2000000001b02c18e,美本跳槽哈佛医学院搞科研💪💪,Delaney,124,2560,1920,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
670d3015000000001b01278d,LLM Agent Hackathon Project 找队友,_PumpkinCookie,70,2126,1110,normal
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
6713611f000000001b03cee6,如何免费逛上海纽约大学？,Anna McQuillan,88,2560,1920,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
656254f9000000003202911e,耶鲁M2M｜第一年🇭🇰HKUST正式毕业啦！🎓,redred🐨,180,1707,1280,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,196,2138,1604,normal
64009af7000000001300d26e,我的大学三年半 💜,Harry Lee,403,1706,1280,normal
66a0877c000000000a0040a6,从学生会主席到上纽中外合办｜干货分享,Iris,297,2560,1919,normal
671364a4000000001402f3e5,上纽大的F4嘉年华开始啦🎉🎉🎉,上纽花园,23,1920,2560,normal
66cc1eaf000000001f01feb8,上纽报到，家长跟随的2小时,MARIA,55,2560,1920,normal
6710e816000000001b02ca41,纽约大学到底谁才能被录取🤫🤫,积极永不颓废,20,1920,1440,normal
6708a935000000001b0211fa,纽约大学｜NYU大一新生学生宿舍VLOG,马丁苏,1512,1821,1366,video
66a3abb8000000000d03331c,录取大礼包请查收！！💜💜NYUShanghai,Merida🌟,330,5712,4145,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
656c7866000000000503aff1,帝国理工化学系｜Term 1 Lab,Alina,127,1920,1440,normal
671348520000000026035c9b,纽约大学钢琴社期待你的加入！,NYU钢琴社,15,1500,2000,normal
6713450a000000001b03c86f,Vlog | 期中考但十分劳逸结合๑˃̵ᴗ˂̵👍,燃儿然而,22,1440,1080,video
67129db2000000001b02c18e,美本跳槽哈佛医学院搞科研💪💪,Delaney,124,2560,1920,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
670d3015000000001b01278d,LLM Agent Hackathon Project 找队友,_PumpkinCookie,70,2126,1110,normal
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
6713611f000000001b03cee6,如何免费逛上海纽约大学？,Anna McQuillan,88,2560,1920,normal
6659534f0000000016010d7d,我在NYUSH上过的最棒的cs课,Banana.K,61,1920,1440,normal
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,165,1920,2560,normal
656254f9000000003202911e,耶鲁M2M｜第一年🇭🇰HKUST正式毕业啦！🎓,redred🐨,180,1707,1280,normal
