Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
65a5ddb6000000001103233c,🔥上纽大2023届商科硕士就业质量如何❓,V华通海派留学,3,1660,1242,normal
66a37b0d000000002701f7df,NYUSH Welcome Package Unbox💜,Maureeeeen Li,237,1189,891,video
66a0877c000000000a0040a6,从学生会主席到上纽中外合办｜干货分享,Iris,304,2560,1919,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,741,2560,1920,normal
6708c1ee000000001b022879,上纽文书解析-如何成为Bridge💪,新航道前程留学美本,60,1660,1242,normal
64e588d30000000017019f29,全国最豪华大学寝室之一｜NYUSH版,延延不想再拖延,436,1440,1920,normal
671a341500000000160225fd,上纽大or昆山杜克，中外合作高校的双雄对决,留学那些事儿,1,4052,3200,normal
66d5d914000000001f01ca3d,正式加入全国最贵大学💜,Iris,1493,4032,3024,normal
65f2c6ae000000001203f93d,能劝一个是一个，真的不要随便上纽大,卡姐说美本留学,188,1660,1242,normal
671df818000000001402c3d4,准高三想报上纽,ppppphoenix_,80,990,990,normal
63fdf040000000002702825a,30秒云游一下NYU上海｜看过即来过,Banana.K,207,1000,750,video
6713611f000000001b03cee6,如何免费逛上海纽约大学？,Anna McQuillan,145,2560,1920,normal
6702ec4f000000001902c79c,上纽本科申请文书bridge builders 要写什么,邵主任讲升学,81,2560,2039,normal
64d9778d000000001701ad34,高考699放弃清北去上纽？,七斤芝士,1513,842,1080,normal
6547689e000000000403bfaf,希望大家认真看！如何提高上纽初审率！,斯黛啦学姐Stella,353,1920,1440,normal
66cac6b6000000001f01e2b1,nyush💜全国最贵的大学宿舍究竟长什么样？！,Liberté✨,166,1920,2560,normal
66f54c31000000001b02249c,NYUSH大一 | 大学是一场破碎与自我重组,PurpleParis,74,1920,1440,normal
66cdf258000000001f03c323,二访上纽（五）--光影与空间,MARIA,11,2560,1920,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
6711ee91000000001b02f843,报告🫡Midterm进度3/4,Edinroon_,18,4032,3024,normal
66d1e658000000001d016340,回到我的大学😃,Grin Larin,389,1920,1440,video
6719fde8000000001b02c6c4,重生之我在上纽midterm当NPC,Iris,34,1920,2560,normal
66d6a16a000000001f01c9d3,上纽OAWeek！,Patronum_zzz,20,2560,1920,normal
653a1e0c000000002202f815,官宣💜上海纽约大学来小红书啦！,上海纽约大学NYUShanghai,580,1200,900,normal
670e20d3000000001600ef91,今天，我们相聚在这里，是为了…,上海纽约大学NYUShanghai,69,2048,1536,normal
63fdf040000000002702825a,30秒云游一下NYU上海｜看过即来过,Banana.K,207,1000,750,video
66d3b057000000001f01aade,💜NYU Shanghai’s Orientation Week💜,Elvira Fan,60,2560,1706,normal
670895a7000000002c0154f3,毕业两年回顾｜上纽性价比如何,橘宝在路上🍊,217,2138,1604,normal
66f52e7f000000001b022367,救 没想到他们说的消防演练是真的有🔥的,小归睡醒了吗,29,2560,1920,normal
6623e92c000000000401a0cb,Spring Formal,_Unique,156,2560,1920,normal
656f72b4000000000901d582,NYUSH｜期末终于接近尾声..上纽圣诞氛围+1,胡吃柿子可不欣,30,1920,1440,normal
616108280000000001028451,上纽大vs纽约大学，NYU学姐客观评价（上）,琳「哒〜」,95,1706,1706,normal
64eae0c3000000001201c8db,上纽plog | Orientation week💜,然后小姐,211,2560,1920,normal
670637fe000000001a021c72,上纽校园日部分真题（点赞评多的话出解析）,邵主任讲升学,79,1600,1200,normal
671e28fc000000001600f482,没有人比他更爱这所学校,小ZZZ,39,1218,960,normal
655740bb000000003202df42,择校指南｜上纽VS昆杜VS港中深VS985,斯黛啦学姐Stella,218,2560,1920,normal
67190a15000000001402e52c,上纽IMA对保洁阿姨的生日采访💜好温暖,Liberté✨,48,1838,1065,normal
6596633400000000120091ca,纽约大学阿布扎比 | Study away gpa,頑童生於1874,36,810,830,normal
63b06098000000002203a4c7,NYUSH大一｜22Fall GPA：3.83/4📚,哈喽蛋妮,82,640,1280,normal
661910d1000000001b0137a6,热爱上纽5年被拒绝了，但是……,几橙aiii,377,2560,1920,normal
64baa424000000001201c240,上海纽约大学Class of 2027 A录取经验分享,AlexGao,348,1920,1440,normal
61ffcac0000000000102d6c9,民办三本野鸡？上海纽约大学到底啥水平,国乎乎,1523,1705,1280,normal
635682a90000000014036d05,上纽vlog😈｜万圣节主题校园🎃,梨子莎白,21,1920,1080,video
66a3abb8000000000d03331c,录取大礼包请查收！！💜💜NYUShanghai,Merida🌟,334,5712,4145,normal
667c205c000000001d0172e4,NYUSH择校,AI学习与前沿,38,1600,1200,normal
65a630a3000000002b0017aa,新生闻风丧胆，老生永生难忘—上纽GPS是啥,叁讓學堂,14,640,1280,normal
6666babc00000000150115b1,在NYU上海的半个月,廖露西娅,148,2560,1920,normal
663dd567000000001e01af2f,前滩校园毕业季New Look💜,上海纽约大学NYUShanghai,152,1707,1280,normal
66ea4c9f000000000c01a657,东北人在上海 实习 + 读研  plog👌,Poland12138,15,2560,1920,normal
66f100f5000000002a032af5,上纽开学三周了（IM项目就读体验）,Claireee,34,1920,1440,normal
664e14ee000000001601239c,在上纽大当老师会遇到怎样的学生？,MOMO脑图,69,2835,2835,normal
64f850dd000000001d016cd5,上纽好进嘛？花100万去读到底值不值?,Zi特写留学,8,1660,1242,normal
6707abe8000000002a0309dc,上纽｜IM开学一个月都在学些啥,Y？,24,1919,1439,normal
66d1e0e2000000001d0385a8,上纽迎新周⬆️nyush orientation week,花语清扬,38,2560,2560,normal
65689228000000003801ff90,上纽plog⑤ | 故事的结局重要吗？,然后小姐,31,2560,1920,normal
6271e5070000000021037e6e,上海纽约大学硕士最新项目介绍 & 申请要求,清柚申研档案袋,97,1220,918,normal
662e1aaf0000000001007fe7,上海纽约大学NYU Stern商学院🏫,Alin neya,0,1440,1080,normal
66cea12f000000001d01a3b6,上海4700美金一学期的宿舍什么样,Napple,48,1440,1080,video
662221b0000000000d0308ec,Vlog｜上纽大二 考试周的生活记录,Wennn,107,1440,1080,video
65fc56fc000000001203efc9,上纽校园日准备策略 🌈,珍妮助考,51,798,682,normal
671364a4000000001402f3e5,上纽大的F4嘉年华开始啦🎉🎉🎉,上纽花园,25,1920,2560,normal
662221b0000000000d0308ec,Vlog｜上纽大二 考试周的生活记录,Wennn,107,1440,1080,video
66d9d1e80000000027005ef6,上海纽约大学｜新生周Talent Show✨,喂不饱的小猫,15,1080,1440,video
64a57c1d000000001c0181ca,👾 NYUSH｜序章,x í ī,91,1470,1920,normal
671a0849000000002100ac2f,实习指向标 | 上纽大带你走进职场「预科班」,上海纽约大学本科招生办,69,1440,1080,video
671b926f000000002100ab6e,终于一睹上海纽约大学的芳容,qinqin,11,2560,1920,normal
6716087200000000160210be,来上纽大蹭课蹭饭啦！,江江,27,1440,1080,video
653d449d000000001e00feea,被学校采访啦💜NYUSH🤩🤩,Jin 🍭,36,1920,1008,normal
66961d6e0000000005004e23,上纽&昆杜怎么申请❓🙋🏻‍♀️国际生呢❔,宸合教育-留学规划,17,3189,2480,normal
671b796c0000000021001656,上纽｜因为允许自己短暂地逃离三次,祝你今天霉烦恼,27,1920,1440,video
66dc0a300000000025030d29,First Week at NYUSH,Edinroon_,34,2907,2702,normal
661bc2c2000000001a010849,关于上纽录取的一点碎碎念,鱼鱼在努力🐟,34,1440,1080,normal
66cfe0c2000000001d015038,上海纽约大学申研案例，完全不输清北,留子们开的留学室,32,485,1347,normal
657bbc0e000000000901f508,纽大资讯丨纪念品商店好物分享🫡,NYUSH-NYUStern商科硕士,48,1920,1440,normal
671cafb00000000026034849,NYUSH 大一选专业求助,躺不下又卷不动,5,1600,1200,normal
663d4f78000000001e0316b8,国际本科｜上海纽约大学篇～,知无不言的老好人,12,1660,1242,normal
65e8252300000000030353d1,2024上纽校园开放日安排及往年真题汇总,SH启德留学,47,2000,1428,normal
66e402f7000000002700547d,上纽IM｜水硕Go Local第一周就读体验,Y？,87,1548,1179,normal
6044a03f0000000021035ffc,在上纽除了在图书馆，还可以玩vr和缝纫机,范duor,28,1080,1080,normal
670a3ce40000000021004f24,详解！上纽文书bridge builders写什么？,黑总说中外合办,6,1620,1215,video
5f5a3e860000000001005199,揭秘上海纽约大学（三）｜课程介绍,🎃Berber也是安老师,238,1705,1279,normal
64f1f254000000001e02f062,NYUSH Week1 上纽开学第一周！,鱼流,310,1920,1440,normal
66cc728e000000001d015fef,上纽开学！Day1 and Day2,小猫蛋卷-,85,2327,2560,normal
66f7835b000000001a02042e,上纽第一个月👊🏻生活很忙 但很快乐,小猫蛋卷-,45,2560,1706,normal
65f1d14b000000001203d9b5,勉强survive midterm,树胶珍珠,32,1920,2560,normal
67130d5f000000001600c38d,老师说：研究生总是参会后拿了饭就跑,Tikaduku,3,4032,3024,normal
671cb5d80000000016021fe6,国际本科❗️中外合办❗️我想打洗你……,在逃学姐Lisa,0,1524,1238,normal
67179fb200000000240159c1,上纽没课的一天怎么度过～,花语清扬,16,1440,1080,video
65840176000000000503baf9,上纽Vlog📝沉浸式体验高人气交互媒体艺术课,上海纽约大学NYUShanghai,69,1065,799,video
670f18b00000000021004898,十二年啦！,上海纽约大学员工招聘,25,1706,1280,normal
659de3ff000000001d016a19,上海纽约大学校园日活动安排,Susie留学,3,1013,1283,normal
670a3ce40000000021004f24,详解！上纽文书bridge builders写什么？,黑总说中外合办,6,1620,1215,video
671b8d62000000002100bbe7,2025上海纽约大学综评简章—草履虫都能看懂,升学李逍遥老师,8,1660,1245,normal
6645b9cb000000001e039c59,关于我在上海纽约大学的最后一周💜🥹,希希爱猫咪🐱,123,2559,1922,normal
65152f3e000000001d0149db,NYUSH A档&DKU省四｜申请review,Chloe_ff,159,1440,1440,normal
671b62f7000000001402e8df,上纽Vlog｜国际交换生在中国留学的一天,上海纽约大学NYUShanghai,52,1066,800,video
62a5a4c2000000001d013ef8,高考完的绝地反击❗️中外合办Top2 Offer,Sundayy,134,1706,1280,normal
671cf43000000000210013c7,25年提前批开打，上纽 vs 昆杜，选哪个？,希姐闲说,7,1660,1245,normal
66d3eff2000000001d019e4c,上纽第一周 特别特别好！,小猫蛋卷-,46,2560,1920,normal
670dedc60000000021001c23,上纽生日快乐！,小猫蛋卷-,22,1920,2560,normal
