Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
66c47271000000001d038507,🔥纽约大学泛商科硕士项目汇总✅超详细‼️,橘子🍊,17,1512,1134,normal
66e530d6000000001e0188ad,25FALL上海纽约大学申请开放！海本学生速来,Niya学姐（中外合办）,21,1660,1242,normal
65e1e5dc000000000b018cbd,全英vlog｜商科硕士日常（转载）,NYUSH-NYUStern商科硕士,13,1920,1440,video
66920ed4000000002500032a,上纽4个商科硕士，2025年入学申请8月启动,小红薯666C2C5D,1,1170,1278,normal
66a38fb70000000027010f46,上纽大研究生项目- 项目说明会,疯之美少女,8,4032,3024,normal
663d925f000000001e0265d9,毕业季分享🌟🌟,NYUSH-NYUStern商科硕士,27,960,720,video
64d39c4d000000001201fd05,💜上海纽约大学-挑战全网最全商科硕士介绍|,阿鱼留学咨询,175,1024,769,normal
669896980000000025014830,纽约大学商科硕士春季项目八月即将开启,重生之留子回国当顾问,3,548,699,normal
627a2d73000000002103df48,上海纽约大学7个硕士专业,留学老司机,86,898,969,normal
64facc43000000001303d561,24届商科硕士项目秋季学期开始啦🥳,NYUSH-NYUStern商科硕士,26,1830,2560,normal
6473d619000000001300603d,💜以后就是纽约大学市场营销硕士啦🎓,Little Song✨,150,1280,1920,normal
6305d557000000001800cef8,纽约大学(上海) 量化金融硕士 申请介绍,小糯君的工作室,43,1705,1280,normal
f74ccec9-c7ab-4d15-af2b-6ad9c167087d#1729472392122,,,0,0,0,normal
6276371f000000000102cad8,NYU Shanghai-Stern硕士项目录取结束…,Mr. John,10,551,621,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
63297ee9000000000802bf28,NYU SH-Stern | 在上海开启秋季学期🆕,NYUSH-NYUStern商科硕士,31,1706,1706,normal
64f93f12000000001e00f518,2024上海纽约大学商科硕士考虑下？,cooper学长,5,722,1080,normal
66ce8ded000000001d018db1,美国泛商科推荐👉纽约大学,阿派留学频道,4,1660,1245,normal
66963b2f0000000025017db9,官宣！上海纽约大学四个商科硕士即将开申,留学咨询梁老师,2,2180,1284,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
66684cd10000000006005094,超全面‼️美国名校泛商科项目合集‼️,Sara学姐,280,1660,1242,normal
66c47271000000001d038507,🔥纽约大学泛商科硕士项目汇总✅超详细‼️,橘子🍊,17,1512,1134,normal
66e530d6000000001e0188ad,25FALL上海纽约大学申请开放！海本学生速来,Niya学姐（中外合办）,21,1660,1242,normal
65e1e5dc000000000b018cbd,全英vlog｜商科硕士日常（转载）,NYUSH-NYUStern商科硕士,13,1920,1440,video
66920ed4000000002500032a,上纽4个商科硕士，2025年入学申请8月启动,小红薯666C2C5D,1,1170,1278,normal
66a38fb70000000027010f46,上纽大研究生项目- 项目说明会,疯之美少女,8,4032,3024,normal
663d925f000000001e0265d9,毕业季分享🌟🌟,NYUSH-NYUStern商科硕士,27,960,720,video
6305d557000000001800cef8,纽约大学(上海) 量化金融硕士 申请介绍,小糯君的工作室,43,1705,1280,normal
669896980000000025014830,纽约大学商科硕士春季项目八月即将开启,重生之留子回国当顾问,3,548,699,normal
627a2d73000000002103df48,上海纽约大学7个硕士专业,留学老司机,86,898,969,normal
64facc43000000001303d561,24届商科硕士项目秋季学期开始啦🥳,NYUSH-NYUStern商科硕士,26,1830,2560,normal
6473d619000000001300603d,💜以后就是纽约大学市场营销硕士啦🎓,Little Song✨,150,1280,1920,normal
64d39c4d000000001201fd05,💜上海纽约大学-挑战全网最全商科硕士介绍|,阿鱼留学咨询,175,1024,769,normal
151ac0fe-0dcc-4a42-b614-7a8d9988d11f#1729472397171,,,0,0,0,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
6276371f000000000102cad8,NYU Shanghai-Stern硕士项目录取结束…,Mr. John,10,551,621,normal
63297ee9000000000802bf28,NYU SH-Stern | 在上海开启秋季学期🆕,NYUSH-NYUStern商科硕士,31,1706,1706,normal
64f93f12000000001e00f518,2024上海纽约大学商科硕士考虑下？,cooper学长,5,722,1080,normal
66ce8ded000000001d018db1,美国泛商科推荐👉纽约大学,阿派留学频道,4,1660,1245,normal
64dcd0b40000000010032ecc,上纽学姐客观分享：上纽缺点,斯黛啦学姐Stella,730,2560,1920,normal
66684cd10000000006005094,超全面‼️美国名校泛商科项目合集‼️,Sara学姐,280,1660,1242,normal
66430fde000000001e023d69,上海纽大 和 NYU SPS怎么选,🌛,21,1280,960,normal
66c47271000000001d038507,🔥纽约大学泛商科硕士项目汇总✅超详细‼️,橘子🍊,17,1512,1134,normal
66e530d6000000001e0188ad,25FALL上海纽约大学申请开放！海本学生速来,Niya学姐（中外合办）,21,1660,1242,normal
65e1e5dc000000000b018cbd,全英vlog｜商科硕士日常（转载）,NYUSH-NYUStern商科硕士,13,1920,1440,video
66920ed4000000002500032a,上纽4个商科硕士，2025年入学申请8月启动,小红薯666C2C5D,1,1170,1278,normal
66a38fb70000000027010f46,上纽大研究生项目- 项目说明会,疯之美少女,8,4032,3024,normal
663d925f000000001e0265d9,毕业季分享🌟🌟,NYUSH-NYUStern商科硕士,27,960,720,video
6305d557000000001800cef8,纽约大学(上海) 量化金融硕士 申请介绍,小糯君的工作室,43,1705,1280,normal
669896980000000025014830,纽约大学商科硕士春季项目八月即将开启,重生之留子回国当顾问,3,548,699,normal
