Note ID,Title,User Nickname,Liked Count,Cover Height,Cover Width,Note Type
63de83e9000000001b004284,23fall NYU Stern-SH Offer！有几个问题,见鹿farewell,12,1920,1440,normal
64142f7200000000070390c3,上海纽约大学组织管理与战略offer,心莫鸢,1,1920,1440,normal
66e530d6000000001e0188ad,25FALL上海纽约大学申请开放！海本学生速来,Niya学姐（中外合办）,21,1660,1242,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
66963b2f0000000025017db9,官宣！上海纽约大学四个商科硕士即将开申,留学咨询梁老师,2,2180,1284,normal
611e0470000000002103f1e7,上海纽约大学新增两个项目💜uu们可以冲‼️,Cathy🐻,6,552,414,normal
65bc7697000000002c03ebc1,NYU纽约大学组织管理与战略文书案例分享,Eve文书,4,1660,1242,normal
66b572160000000009016d87,上海纽约大学组织管理与战略硕士面试真题｜,研升辅导,4,1444,1080,video
66e2a87c000000000c018029,上海纽约大学硕士；昆山杜克大学硕士怎么样,Friday_Master,11,1147,1179,normal
64585c030000000013008531,NYU热门专业——管理和组织,NYU留学生社区,15,1660,1245,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
657bf9ac000000003802e2e2,NYU Stern！组织管理与策略新鲜offer出炉！,AdmitMe留学,3,2000,1414,normal
5e82e56a-04b7-40ea-86b6-0a4600a7f158#1729472435156,,,0,0,0,normal
66f3b155000000001a02015d,上纽、昆杜10月1日开放申请！,中教汇学,4,1656,1242,normal
66bd91e7000000001e018c02,上海纽约大学2024专业排名！,上纽星球,37,822,693,normal
64180310000000001301384c,NYUSH真的很不错呢,CucumberChips,21,709,789,normal
66bdbaf40000000025030ec6,上海纽约大学商科硕士最新项目介绍 & 申请,霍学长带你留学,2,1660,1242,normal
66ec3200000000000c019b71,纽约大学哪些专业最容易申请,美利坚求学记Allen,7,1600,1200,normal
6572c4b3000000003a00b725,上纽市场营销和零售offer火热出炉,心莫鸢,1,1500,1170,normal
65e86d66000000000102aecc,上纽大“王牌”专业一览👑有你喜欢的吗？,思课郑老师（Mia）,33,1440,1080,video
661ced87000000001a014c5e,别再问今年上纽还能不能申，offer都发完啦,易度泽泽-留学咨询,4,1440,1080,normal
63de83e9000000001b004284,23fall NYU Stern-SH Offer！有几个问题,见鹿farewell,12,1920,1440,normal
64142f7200000000070390c3,上海纽约大学组织管理与战略offer,心莫鸢,1,1920,1440,normal
66e530d6000000001e0188ad,25FALL上海纽约大学申请开放！海本学生速来,Niya学姐（中外合办）,21,1660,1242,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
66963b2f0000000025017db9,官宣！上海纽约大学四个商科硕士即将开申,留学咨询梁老师,2,2180,1284,normal
611e0470000000002103f1e7,上海纽约大学新增两个项目💜uu们可以冲‼️,Cathy🐻,6,552,414,normal
65bc7697000000002c03ebc1,NYU纽约大学组织管理与战略文书案例分享,Eve文书,4,1660,1242,normal
66b572160000000009016d87,上海纽约大学组织管理与战略硕士面试真题｜,研升辅导,4,1444,1080,video
66f3b155000000001a02015d,上纽、昆杜10月1日开放申请！,中教汇学,4,1656,1242,normal
66e2a87c000000000c018029,上海纽约大学硕士；昆山杜克大学硕士怎么样,Friday_Master,11,1147,1179,normal
64585c030000000013008531,NYU热门专业——管理和组织,NYU留学生社区,15,1660,1245,normal
657bf9ac000000003802e2e2,NYU Stern！组织管理与策略新鲜offer出炉！,AdmitMe留学,3,2000,1414,normal
b1fc634c-30c2-4866-bbb2-f8e826da5e79#1729472440139,,,0,0,0,normal
65f47510000000001203fd54,我在上纽读计算机的后悔二三事,Banana.K,169,1920,1440,normal
64180310000000001301384c,NYUSH真的很不错呢,CucumberChips,21,709,789,normal
66bd91e7000000001e018c02,上海纽约大学2024专业排名！,上纽星球,37,822,693,normal
66bdbaf40000000025030ec6,上海纽约大学商科硕士最新项目介绍 & 申请,霍学长带你留学,2,1660,1242,normal
66ec3200000000000c019b71,纽约大学哪些专业最容易申请,美利坚求学记Allen,7,1600,1200,normal
6572c4b3000000003a00b725,上纽市场营销和零售offer火热出炉,心莫鸢,1,1500,1170,normal
65e86d66000000000102aecc,上纽大“王牌”专业一览👑有你喜欢的吗？,思课郑老师（Mia）,33,1440,1080,video
661ced87000000001a014c5e,别再问今年上纽还能不能申，offer都发完啦,易度泽泽-留学咨询,4,1440,1080,normal
63de83e9000000001b004284,23fall NYU Stern-SH Offer！有几个问题,见鹿farewell,12,1920,1440,normal
64142f7200000000070390c3,上海纽约大学组织管理与战略offer,心莫鸢,1,1920,1440,normal
66e530d6000000001e0188ad,25FALL上海纽约大学申请开放！海本学生速来,Niya学姐（中外合办）,21,1660,1242,normal
668f763b000000002500775f,上海纽约大学四个商科硕士8月初开申❗️,vickie,3,999,750,normal
66963b2f0000000025017db9,官宣！上海纽约大学四个商科硕士即将开申,留学咨询梁老师,2,2180,1284,normal
611e0470000000002103f1e7,上海纽约大学新增两个项目💜uu们可以冲‼️,Cathy🐻,6,552,414,normal
65bc7697000000002c03ebc1,NYU纽约大学组织管理与战略文书案例分享,Eve文书,4,1660,1242,normal
60fae338000000000102ca39,美国留学资讯｜ 上海纽大新增两个研究生专业,虎弟虎妹66的麻麻NY,10,960,720,video
